,ilkid,year,firstname,lastname,conference,leag,gp,minutes,pts,dreb,oreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
755,KirilAn01 ,2003,Andrei,Kirilenko,west,N,1,12,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0
756,KnighBi01 ,1976,Billy,Knight,west,N,1,12,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,2.0,0.0,0.0
757,KnighBi01 ,1975,Billy,Knight,AllStars,A,1,23,20.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,3.0,14.0,9.0,2.0,2.0,1.0,0.0
758,KojisDo01 ,1968,Don,Kojis,west,N,1,16,8.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,7.0,2.0,5.0,4.0,0.0,0.0
759,KojisDo01 ,1967,Don,Kojis,west,N,1,10,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0
760,LaceySa01 ,1974,Sam,Lacey,west,N,1,17,6.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0,2.0,0.0,0.0
761,LadneWe01 ,1970,Wendell,Ladner,west,A,1,20,12.0,5.0,2.0,7.0,0.0,0.0,0.0,2.0,3.0,11.0,6.0,0.0,0.0,0.0,0.0
762,LadneWe01 ,1971,Wendell,Ladner,west,A,1,14,4.0,5.0,1.0,6.0,1.0,0.0,0.0,0.0,2.0,5.0,2.0,0.0,0.0,2.0,0.0
763,LaettCh01 ,1996,Christian,Laettner,east,N,1,24,7.0,7.0,4.0,11.0,2.0,1.0,1.0,2.0,4.0,5.0,3.0,1.0,1.0,0.0,0.0
764,LaimbBi01 ,1986,Bill,Laimbeer,east,N,1,11,8.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0
765,LaimbBi01 ,1984,Bill,Laimbeer,east,N,1,11,5.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,0.0,0.0
766,LaimbBi01 ,1983,Bill,Laimbeer,east,N,1,17,13.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,1.0,1.0,0.0,0.0
767,LaimbBi01 ,1982,Bill,Laimbeer,east,N,1,6,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
768,LanieBo01 ,1978,Bob,Lanier,east,N,1,31,10.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0
769,LanieBo01 ,1977,Bob,Lanier,west,N,1,4,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
770,LanieBo01 ,1976,Bob,Lanier,west,N,1,20,17.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,8.0,7.0,3.0,3.0,0.0,0.0
771,LanieBo01 ,1974,Bob,Lanier,west,N,1,12,2.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0
772,LanieBo01 ,1973,Bob,Lanier,west,N,1,26,24.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,15.0,11.0,2.0,2.0,0.0,0.0
773,LanieBo01 ,1972,Bob,Lanier,west,N,1,12,10.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0,0.0
774,LanieBo01 ,1971,Bob,Lanier,west,N,1,5,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0
